INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,89,40434.855,40702.064,40376.855,48806.419,48815.633,48804.419,8427.5645,28,0,8720.8324,28,0,5921.1725,28,0,80.045,19.096,0.859,502973450,0.609,0.615,0.111,0.804745692
I00699,90,22648.203,22939.524,22590.203,30087.323,30097.368,30085.323,7495.1196,28,0,9553.633,28,0,4128.8444,28,0,89.083,9.519,1.398,500041800,0.796,0.807,0.027,0.897816399
I00699,91,12954.403,13239.9,12896.403,23703.57,23713.415,23701.57,10805.1672,28,0,31739.4449,28,0,5426.2538,28,0,95.872,3.318,0.81,319514316,0.926,0.933,0.03,0.962773845
I00699,92,45290.568,45600.966,45232.568,60416.237,60426.941,60414.237,15181.6698,28,0,22268.7252,28,0,9768.0681,28,0,89.008,9.481,1.51,1956210420,0.795,0.807,0.029,0.897633952
I00699,93,36676.784,36893.475,36626.784,39015.03,39023.698,39013.03,2386.2459,24,0,2189.0859,24,0,1942.1398,24,0,66.711,32.037,1.252,258937616,0.347,0.351,0.097,0.673372157
I00699,94,37431.87,37698.23,37373.87,41855.721,41864.905,41853.721,4479.8506,28,0,4188.4669,28,0,3417.5779,28,0,74.118,24.873,1.009,402998196,0.492,0.497,0.077,0.746225684
I00699,95,20564.501,20838.04,20506.501,25688.297,25697.73,25686.297,5179.7964,28,0,7327.1493,28,0,2962.2885,28,0,84.142,14.382,1.477,258028512,0.698,0.708,0.042,0.848800221
I00699,96,88455.3,88751.579,88397.3,102848.484,102858.7,102846.484,14449.1843,28,0,14450.3237,28,0,9679.2733,28,0,77.936,20.742,1.322,2669916900,0.572,0.58,0.075,0.785968468
I00699,97,36197.773,36484.75,36139.773,45129.229,45139.125,45127.229,8987.4558,28,0,9383.6957,28,0,3827.0745,28,0,84.192,14.742,1.066,739307164,0.694,0.702,0.048,0.847248671
I00699,98,59166.121,59465.972,59108.121,72584.817,72595.156,72582.817,13474.6956,28,0,13754.8686,28,0,6651.549,28,0,83.396,15.605,0.999,1868835136,0.678,0.685,0.048,0.838951358
I00699,99,96501.989,96778.437,96443.989,104780.994,104790.527,104778.994,8335.0049,28,0,7542.6627,28,0,6319.8976,28,0,68.458,30.099,1.442,1724458395,0.384,0.389,0.127,0.69179546
I00699,100,16125.869,16405.725,16067.869,22461.555,22471.205,22459.555,6391.6858,28,0,9478.4372,28,0,3834.4649,28,0,90.083,8.533,1.383,257448670,0.815,0.827,0.032,0.907747581
I00699,101,195829.049,196150.64,195771.049,222816.67,222827.759,222814.67,27043.6206,28,0,23163.9769,28,0,12666.545,28,0,75.052,22.856,2.093,13448447820,0.522,0.533,0.06,0.760979026
I00699,102,13925.207,14230.691,13867.207,19434.614,19445.148,19432.614,5565.4067,28,0,9186.9747,28,0,4014.4524,28,0,89.677,5.588,4.734,434739375,0.841,0.883,0.009,0.920444656
I00699,103,19083.084,19376.202,19025.084,22856.006,22866.113,22854.006,3828.9216,28,0,4396.8884,28,0,2327.2204,28,0,84.193,13.336,2.471,375289920,0.709,0.727,0.016,0.854287944
I00699,104,6085.578,6375.67,6027.578,7770.082,7780.085,7768.082,1740.5043,28,0,2883.9597,28,0,1293.8269,28,0,84.869,6.658,8.473,95333996,0.782,0.855,0.006,0.891055789
I00699,105,5631.697,5942.513,5573.697,8836.447,8847.165,8834.447,3260.7496,28,0,9852.1538,28,0,2327.5322,28,0,87.998,1.753,10.249,201142872,0.862,0.961,0.003,0.931223019
I00699,106,9243.293,9635.41,9185.293,10122.287,10135.809,10120.287,934.9942,28,0,12428.0755,28,0,1097.0058,28,0,6.732,0.074,93.194,2697497040,0.067,0.978,0,0.53329346
I00699,107,42721.539,43031.081,42663.539,55686.516,55697.19,55684.516,13020.9771,28,0,17723.4578,28,0,6811.0581,28,0,88.015,10.147,1.838,1729825036,0.779,0.793,0.026,0.889337863
I00699,108,28542.888,28833.961,28484.888,39452.271,39462.308,39450.271,10965.3829,28,0,14129.8473,28,0,4985.5063,28,0,89.981,9.082,0.937,694421824,0.809,0.817,0.039,0.904493053
