INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",1480,0,490,490,0,33,33
I00721,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",2060,325,975,1000,16,47,49
I00721,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",2755,0,585,585,0,21,21
I00721,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",1690,*,410,410,*,24,24
I00721,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",3625,0,985,985,0,27,27
I00721,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",1120,0,450,450,0,40,40
I00721,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",2935,460,1605,1610,16,55,55
I00721,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",7395,0,1915,1915,0,26,26
I00721,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",1795,25,615,620,1,34,35
I00721,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",2870,0,1005,1005,0,35,35
I00721,RTG,"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",4625,390,1340,1380,8,29,30
I00721,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",4545,0,1315,1315,0,29,29
I00721,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",1820,0,725,725,0,40,40
I00721,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",4565,0,1970,1970,0,43,43
I00721,RK9,"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",2595,0,505,505,0,19,19
I00721,RBK,"WALSALL HEALTHCARE NHS TRUST",1565,0,495,495,0,32,32
I00721,RWW,"WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST",1415,0,475,475,0,34,34
I00721,RWG,"WEST HERTFORDSHIRE HOSPITALS NHS TRUST",2075,0,745,745,0,36,36
I00721,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",1465,*,620,620,*,42,42
I00721,RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",3045,0,1180,1180,0,39,39
I00721,RA3,"WESTON AREA HEALTH NHS TRUST",795,0,310,310,0,39,39
I00721,RKE,"WHITTINGTON HEALTH NHS TRUST",560,0,205,205,0,37,37
I00721,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",2315,0,1000,1000,0,43,43
I00721,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",2915,*,920,920,*,32,32
I00721,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1760,0,670,670,0,38,38
I00721,RLQ,"WYE VALLEY NHS TRUST",1245,0,350,350,0,28,28
I00721,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",1130,0,640,640,0,57,57
I00721,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",3195,0,740,740,0,23,23
