INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00743,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2133,1003,531,286,244,50,19,47.0230,24.8945,13.4083,11.4393,2.3441,0.8908
I00743,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",2330,*,576,662,553,270,*,*,24.7210,28.4120,23.7339,11.5880,*
I00743,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1549,286,151,172,248,415,277,18.4635,9.7482,11.1039,16.0103,26.7915,17.8825
I00743,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3049,899,935,494,347,362,12,29.4851,30.6658,16.2020,11.3808,11.8727,0.3936
I00743,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1278,208,384,326,220,105,35,16.2754,30.0469,25.5086,17.2144,8.2160,2.7387
I00743,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1497,*,354,296,388,311,*,*,23.6473,19.7729,25.9185,20.7749,*
I00743,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",3323,527,594,764,689,713,36,15.8592,17.8754,22.9913,20.7343,21.4565,1.0834
I00743,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2878,1020,708,611,470,*,*,35.4413,24.6004,21.2300,16.3308,*,*
I00743,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1143,117,217,446,296,*,*,10.2362,18.9851,39.0201,25.8968,*,*
I00743,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2437,63,333,638,598,791,14,2.5851,13.6643,26.1797,24.5384,32.4579,0.5745
I00743,RJN,"EAST CHESHIRE NHS TRUST",939,*,127,184,178,398,*,*,13.5250,19.5953,18.9563,42.3855,*
I00743,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4203,688,920,1094,1199,292,10,16.3693,21.8891,26.0290,28.5272,6.9474,0.2379
I00743,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2716,1070,658,355,457,169,7,39.3962,24.2268,13.0707,16.8262,6.2224,0.2577
I00743,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2639,398,746,720,559,209,7,15.0815,28.2683,27.2831,21.1823,7.9197,0.2653
I00743,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1976,*,261,391,454,823,*,*,13.2085,19.7874,22.9757,41.6498,*
I00743,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3552,108,347,636,748,1685,28,3.0405,9.7691,17.9054,21.0586,47.4381,0.7883
I00743,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1517,566,440,150,295,*,*,37.3105,29.0046,9.8879,19.4463,*,*
I00743,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",987,145,273,240,200,*,*,14.6910,27.6596,24.3161,20.2634,*,*
I00743,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3188,273,350,863,795,885,22,8.5634,10.9787,27.0703,24.9373,27.7604,0.6901
I00743,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1748,142,197,298,506,596,9,8.1236,11.2700,17.0481,28.9474,34.0961,0.5149
I00743,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1491,454,557,195,143,106,36,30.4494,37.3575,13.0785,9.5909,7.1093,2.4145
I00743,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",1995,11,229,322,444,983,6,0.5514,11.4787,16.1404,22.2556,49.2732,0.3008
I00743,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",940,*,52,201,291,371,*,*,5.5319,21.3830,30.9574,39.4681,*
I00743,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",4574,1625,800,660,725,681,83,35.5269,17.4902,14.4294,15.8505,14.8885,1.8146
I00743,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",569,461,90,9,*,*,*,81.0193,15.8172,1.5817,*,*,*
I00743,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",3505,1151,*,570,634,616,*,32.8388,*,16.2625,18.0884,17.5749,*
I00743,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2273,620,749,450,317,91,46,27.2767,32.9520,19.7976,13.9463,4.0035,2.0238
I00743,RGQ,"IPSWICH HOSPITAL NHS TRUST",1973,195,207,333,727,503,8,9.8834,10.4916,16.8779,36.8474,25.4942,0.4055
I00743,R1F,"ISLE OF WIGHT NHS TRUST",946,58,302,379,150,*,*,6.1311,31.9239,40.0634,15.8562,*,*
I00743,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1649,279,381,546,376,*,*,16.9193,23.1049,33.1110,22.8017,*,*
I00743,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1672,227,396,374,340,329,6,13.5766,23.6842,22.3684,20.3349,19.6770,0.3589
I00743,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",3209,602,742,405,644,668,148,18.7597,23.1225,12.6208,20.0686,20.8165,4.6120
I00743,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1179,*,118,166,387,475,*,*,10.0085,14.0797,32.8244,40.2884,*
I00743,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2347,475,413,390,599,455,15,20.2386,17.5969,16.6170,25.5219,19.3865,0.6391
I00743,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4153,1359,793,681,830,478,12,32.7233,19.0946,16.3978,19.9856,11.5098,0.2889
I00743,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2377,656,806,381,305,200,29,27.5978,33.9083,16.0286,12.8313,8.4140,1.2200
I00743,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",2528,381,797,807,345,177,21,15.0712,31.5269,31.9225,13.6472,7.0016,0.8307
I00743,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1793,252,391,410,341,392,7,14.0547,21.8070,22.8667,19.0184,21.8628,0.3904
I00743,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2420,77,166,507,722,940,8,3.1818,6.8595,20.9504,29.8347,38.8430,0.3306
I00743,RPA,"MEDWAY NHS FOUNDATION TRUST",1885,355,507,365,373,279,6,18.8329,26.8966,19.3634,19.7878,14.8011,0.3183
I00743,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1564,214,275,292,296,481,6,13.6829,17.5831,18.6701,18.9258,30.7545,0.3836
I00743,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",1935,*,209,460,642,594,*,*,10.8010,23.7726,33.1783,30.6977,*
I00743,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",3109,935,843,579,556,183,13,30.0740,27.1148,18.6234,17.8836,5.8861,0.4181
I00743,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1237,*,155,188,258,486,*,*,12.5303,15.1981,20.8569,39.2886,*
I00743,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3546,210,604,1033,1060,615,24,5.9222,17.0333,29.1314,29.8928,17.3435,0.6768
I00743,RVJ,"NORTH BRISTOL NHS TRUST",2291,239,456,435,399,745,17,10.4321,19.9040,18.9873,17.4160,32.5186,0.7420
I00743,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",1815,345,452,443,365,189,21,19.0083,24.9036,24.4077,20.1102,10.4132,1.1570
I00743,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1214,489,315,190,147,60,13,40.2801,25.9473,15.6507,12.1087,4.9423,1.0708
