INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01963,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",287,47809,0.6003
I01963,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",0,47301,0.0000
I01963,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",1228,43051,2.8524
I01963,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",285,49158,0.5798
I01963,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",6,68636,0.0087
I01963,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",4028,48702,8.2707
I01963,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",29,81233,0.0357
I01963,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",489,71193,0.6869
I01963,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",125,97375,0.1284
I01963,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",0,66545,0.0000
I01963,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",59,76394,0.0772
I01963,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",3,97728,0.0031
I01963,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",213,154407,0.1379
I01963,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",73,49256,0.1482
I01963,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",292,127873,0.2284
I01963,RBK,"WALSALL HEALTHCARE NHS TRUST",15,44938,0.0334
I01963,RWW,"WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST",25,49532,0.0505
I01963,RWG,"WEST HERTFORDSHIRE HOSPITALS NHS TRUST",219,62291,0.3516
I01963,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",13,37021,0.0351
I01963,RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",0,75906,0.0000
I01963,RA3,"WESTON AREA HEALTH NHS TRUST",38,16182,0.2348
I01963,RKE,"WHITTINGTON HEALTH NHS TRUST",20,27742,0.0721
I01963,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",380,67402,0.5638
I01963,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",339,71016,0.4774
I01963,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",57,41371,0.1378
I01963,RLQ,"WYE VALLEY NHS TRUST",6,29100,0.0206
I01963,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",21,27873,0.0753
I01963,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",123,86730,0.1418
