INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,76,7793.0772,8057.8923,7741.0772,10013.3485,10023.5337,10011.3485,2270.2712,25,0,5747.9814,25,0,1846.4128,25,0,90.1407,9.6277,0.2315,149253795,0.8051,0.807,0.0063,0.9026
I00699,77,75842.5949,76077.1729,75790.5949,82372.1859,82381.2082,82370.1859,6579.591,25,0,5931.1654,25,0,4937.3376,25,0,66.9807,31.862,1.1573,898989531,0.3512,0.3553,0.1685,0.6756
I00699,78,46998.1439,47245.9935,46946.1439,54874.6673,54884.1999,54872.6673,7926.5234,25,0,7593.4254,25,0,5105.0416,25,0,78.2192,21.2689,0.5119,730917684,0.5695,0.5724,0.08,0.7848
I00699,79,30194.9252,30409.7291,30142.9252,32902.3982,32910.6599,32900.3982,2757.4729,25,0,2634.7338,25,0,2290.1822,25,0,69.2857,30.0142,0.7001,158226250,0.3927,0.3955,0.1518,0.6964
I00699,80,2972.2355,3133.9169,2920.2355,3413.625,3419.8435,3411.625,491.3896,25,0,449.8122,25,0,303.3897,25,0,75.7978,23.5326,0.6695,1964160,0.5227,0.5262,0.1493,0.7613
I00699,81,35218.8144,35467.9069,35166.8144,43484.3985,43493.979,43482.3985,8315.5841,25,0,7640.0452,25,0,3721.1097,25,0,82.9976,16.6944,0.308,560204828,0.663,0.6651,0.0649,0.8315
I00699,82,38887.7673,39189.4988,38835.7673,51444.5163,51456.1214,51442.5163,12606.7491,25,0,22440.4318,25,0,6878.9403,25,0,91.9151,7.9116,0.1733,3298675776,0.84,0.8415,0.0084,0.92
I00699,83,61676.836,61956.1289,61624.836,80498.5379,80509.2799,80496.5379,18871.7019,25,0,22391.6998,25,0,7140.448,25,0,87.8366,11.7828,0.3806,2873465056,0.7605,0.7634,0.0374,0.8803
I00699,84,15844.3572,16094.4143,15792.3572,18764.0612,18773.6788,18762.0612,2969.704,25,0,3524.4682,25,0,1956.5002,25,0,83.9878,15.738,0.2742,201237170,0.6825,0.6844,0.0223,0.8412
I00699,85,6262.9778,6464.1588,6210.9778,7462.608,7470.3457,7460.608,1249.6302,25,0,1240.2179,25,0,703.4836,25,0,81.0878,18.5032,0.409,15570750,0.6258,0.6284,0.0679,0.8129
I00699,86,9490.7402,9735.4165,9438.7402,11389.9676,11399.3782,11387.9676,1949.2274,25,0,2485.0174,25,0,1199.4944,25,0,85.6592,14.0731,0.2677,93158208,0.7159,0.7178,0.0164,0.8579
I00699,87,17459.0453,17721.3793,17407.0453,23881.4126,23891.5023,23879.4126,6472.3672,25,0,8542.9736,25,0,3609.6367,25,0,91.225,8.5829,0.1921,390322620,0.8264,0.828,0.0204,0.9132
I00699,88,4138.7412,4377.3909,4086.7412,5633.309,5642.4879,5631.309,1544.5679,25,0,3468.8854,25,0,1024.1497,25,0,92.0895,7.7647,0.1457,33218644,0.8432,0.8445,0.0109,0.9216
I00699,89,44880.1297,45124.578,44828.1297,53498.8765,53508.2784,53496.8765,8668.7469,25,0,9021.8966,25,0,6212.7728,25,0,79.7282,19.7357,0.5362,645576636,0.5999,0.6032,0.0967,0.8
I00699,90,21673.9537,21937.1116,21621.9537,28379.3951,28389.5166,28377.3951,6755.4414,25,0,8776.3263,25,0,3769.3352,25,0,89.562,10.1481,0.2899,493712442,0.7941,0.7964,0.0232,0.8971
