INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,RWG,"WEST HERTFORDSHIRE HOSPITALS NHS TRUST",2128,0,674,674,0.0000,31.6729,31.6729
I00721,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2453,196,1090,1093,7.9902,44.4354,44.5577
I00721,RWJ,"STOCKPORT NHS FOUNDATION TRUST",1873,0,444,444,0.0000,23.7053,23.7053
I00721,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",2861,0,836,836,0.0000,29.2206,29.2206
I00721,RWW,"WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST",1608,1,520,521,0.0622,32.3383,32.4005
I00721,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2347,0,444,444,0.0000,18.9178,18.9178
I00721,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",4672,281,907,910,6.0146,19.4135,19.4777
I00721,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2682,0,494,494,0.0000,18.4191,18.4191
I00721,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",3056,0,646,646,0.0000,21.1387,21.1387
I00721,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2411,0,578,578,0.0000,23.9735,23.9735
I00721,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",2229,0,471,471,0.0000,21.1306,21.1306
I00721,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2409,5,454,456,0.2076,18.8460,18.9290
I00721,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2276,0,647,647,0.0000,28.4271,28.4271
I00721,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",2990,0,520,520,0.0000,17.3913,17.3913
I00721,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1705,91,624,630,5.3372,36.5982,36.9501
I00721,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2732,0,564,564,0.0000,20.6442,20.6442
I00721,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",2472,0,627,627,0.0000,25.3641,25.3641
I00721,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2304,1,1219,1219,0.0434,52.9080,52.9080
I00721,RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",3084,0,857,857,0.0000,27.7886,27.7886
