INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,92,47035.2985,47432.9382,46961.2985,60079.4032,60090.1503,60077.4032,13116.1048,36,0,17850.5261,36,0,8728.945,36,0,88.1695,11.8059,0.0246,2009246400,0.7636,0.7638,0.026,0.8818
I00699,93,40793.0544,41083.9171,40727.0544,42887.9725,42896.7866,42885.9725,2158.9182,32,0,1994.8985,32,0,1826.6342,32,0,65.9135,34.0179,0.0686,323740242,0.319,0.3192,0.0836,0.6595
I00699,94,36439.4788,36782.1186,36365.4788,40361.868,40371.1285,40359.868,3994.3891,36,0,3670.7279,36,0,2944.8558,36,0,73.9583,25.9918,0.0499,405255233,0.4797,0.4799,0.0644,0.7398
I00699,95,21733.9704,22088.716,21659.9704,25723.6723,25733.26,25721.6723,4061.7019,36,0,5414.0101,36,0,3366.6418,36,0,82.2662,17.7065,0.0272,290430000,0.6456,0.6458,0.0323,0.8228
I00699,96,76269.9015,76645.8388,76195.9015,87914.9379,87925.0983,87912.9379,11717.0364,36,0,11182.1029,36,0,7330.9302,36,0,77.9584,21.9829,0.0586,2095270995,0.5598,0.5601,0.0642,0.7799
I00699,97,6371.0857,6674.2758,6297.0857,7074.7052,7082.8995,7072.7052,775.6195,36,0,673.9447,36,0,374.5798,36,0,76.7298,23.2083,0.0619,20332944,0.5352,0.5355,0.0304,0.7676
I00699,98,62065.3044,62453.3032,61991.3044,74643.96,74654.4464,74641.96,12650.6556,36,0,12229.8877,36,0,5563.483,36,0,82.7468,17.2128,0.0404,2158352826,0.6553,0.6556,0.0404,0.8277
I00699,99,120118.7955,120487.694,120044.7955,130170.5007,130180.471,130168.5007,10123.7052,36,0,9072.8957,36,0,7521.3818,36,0,69.6531,30.2319,0.115,3074592784,0.3942,0.3947,0.0971,0.6971
I00699,100,20395.2438,20762.367,20321.2438,27618.6599,27628.5821,27616.6599,7295.4161,36,0,11325.707,36,0,4662.6275,36,0,90.0629,9.9207,0.0164,409288659,0.8014,0.8016,0.0289,0.9007
I00699,101,168408.8956,168821.8628,168334.8956,192714.5657,192725.727,192712.5657,24377.6701,36,0,21342.2019,36,0,11643.4013,36,0,77.4874,22.4183,0.0942,11761352604,0.5507,0.5512,0.0479,0.7753
I00699,102,15326.327,15720.927,15252.327,20723.2592,20733.924,20721.2592,5468.9322,36,0,8304.2719,36,0,3695.7339,36,0,91.95,8.0348,0.0151,521895292,0.8392,0.8393,0.0087,0.9196
