INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00743,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2357,491,412,389,577,468,20,20.8316,17.4798,16.5040,24.4803,19.8557,0.8485
I00743,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4096,1332,786,649,827,489,13,32.5195,19.1895,15.8447,20.1904,11.9385,0.3174
I00743,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2436,665,834,391,315,196,35,27.2989,34.2365,16.0509,12.9310,8.0460,1.4368
I00743,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",2458,366,758,788,348,174,24,14.8902,30.8381,32.0586,14.1579,7.0789,0.9764
I00743,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1793,235,424,398,332,396,8,13.1065,23.6475,22.1974,18.5165,22.0859,0.4462
I00743,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2402,69,157,489,765,914,8,2.8726,6.5362,20.3580,31.8485,38.0516,0.3331
I00743,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3620,1340,688,563,467,532,30,37.0166,19.0055,15.5525,12.9006,14.6961,0.8287
I00743,RPA,"MEDWAY NHS FOUNDATION TRUST",1901,352,511,388,357,*,*,18.5166,26.8806,20.4103,18.7796,*,*
I00743,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1558,211,270,284,302,485,6,13.5430,17.3299,18.2285,19.3838,31.1297,0.3851
I00743,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",1951,*,213,472,650,584,*,*,10.9175,24.1927,33.3162,29.9334,*
I00743,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",3063,921,847,549,546,187,13,30.0686,27.6526,17.9236,17.8257,6.1051,0.4244
I00743,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1251,144,136,205,258,499,9,11.5108,10.8713,16.3869,20.6235,39.8881,0.7194
I00743,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3431,210,574,994,1014,625,14,6.1207,16.7298,28.9711,29.5541,18.2163,0.4080
I00743,RVJ,"NORTH BRISTOL NHS TRUST",2331,240,468,438,445,730,10,10.2960,20.0772,18.7902,19.0905,31.3170,0.4290
I00743,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",1868,349,455,466,376,192,30,18.6831,24.3576,24.9465,20.1285,10.2784,1.6060
I00743,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1168,475,298,182,145,51,17,40.6678,25.5137,15.5822,12.4144,4.3664,1.4555
I00743,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",2057,828,427,326,*,246,*,40.2528,20.7584,15.8483,*,11.9592,*
I00743,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",2855,307,451,650,761,668,18,10.7531,15.7968,22.7671,26.6550,23.3975,0.6305
I00743,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",1910,251,324,329,422,567,17,13.1414,16.9634,17.2251,22.0942,29.6859,0.8901
I00743,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",1054,68,288,440,233,*,*,6.4516,27.3245,41.7457,22.1063,*,*
I00743,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",2546,624,511,619,511,*,*,24.5090,20.0707,24.3126,20.0707,*,*
I00743,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",3105,776,773,623,503,*,*,24.9919,24.8953,20.0644,16.1997,*,*
I00743,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",4250,687,558,547,513,604,1341,16.1647,13.1294,12.8706,12.0706,14.2118,31.5529
I00743,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3194,190,271,572,812,1318,31,5.9487,8.4847,17.9086,25.4227,41.2649,0.9706
I00743,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",3820,1645,866,578,458,214,59,43.0628,22.6702,15.1309,11.9895,5.6021,1.5445
I00743,RK9,"PLYMOUTH HOSPITALS NHS TRUST",2458,388,670,630,565,*,*,15.7852,27.2579,25.6306,22.9862,*,*
I00743,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",1601,*,251,411,422,418,*,*,15.6777,25.6715,26.3585,26.1087,*
I00743,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",3174,*,540,615,726,819,*,*,17.0132,19.3762,22.8733,25.8034,*
I00743,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",2132,111,262,391,381,948,39,5.2064,12.2889,18.3396,17.8705,44.4653,1.8293
I00743,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",2367,303,926,896,196,36,10,12.8010,39.1213,37.8538,8.2805,1.5209,0.4225
I00743,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",2167,*,395,706,697,241,*,*,18.2280,32.5796,32.1643,11.1214,*
I00743,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",2745,345,543,793,707,324,33,12.5683,19.7814,28.8889,25.7559,11.8033,1.2022
I00743,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",2033,1299,310,207,162,41,14,63.8957,15.2484,10.1820,7.9685,2.0167,0.6886
I00743,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",1193,*,*,111,344,693,*,*,*,9.3043,28.8349,58.0889,*
I00743,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",2095,*,272,482,644,636,*,*,12.9833,23.0072,30.7399,30.3580,*
I00743,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",1867,716,462,317,221,128,23,38.3503,24.7456,16.9791,11.8372,6.8559,1.2319
I00743,RNZ,"SALISBURY NHS FOUNDATION TRUST",1092,27,89,358,352,249,17,2.4725,8.1502,32.7839,32.2344,22.8022,1.5568
I00743,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",2029,1297,424,231,53,*,*,63.9231,20.8970,11.3849,2.6121,*,*
I00743,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",3716,1382,719,675,518,396,26,37.1905,19.3488,18.1647,13.9397,10.6566,0.6997
I00743,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",2111,621,701,363,274,136,16,29.4173,33.2070,17.1956,12.9796,6.4424,0.7579
I00743,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",2725,236,489,816,545,332,307,8.6606,17.9450,29.9450,20.0000,12.1835,11.2661
I00743,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",2826,974,492,392,613,348,7,34.4657,17.4098,13.8712,21.6914,12.3142,0.2477
I00743,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",1133,493,252,226,90,*,*,43.5128,22.2418,19.9470,7.9435,*,*
I00743,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",1235,*,121,185,414,499,*,*,9.7976,14.9798,33.5223,40.4049,*
I00743,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2414,380,395,568,509,552,10,15.7415,16.3629,23.5294,21.0853,22.8666,0.4143
I00743,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",1353,145,319,346,322,207,14,10.7169,23.5772,25.5728,23.7990,15.2993,1.0347
I00743,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1980,161,542,543,313,391,30,8.1313,27.3737,27.4242,15.8081,19.7475,1.5152
I00743,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",2356,1131,393,409,242,*,*,48.0051,16.6808,17.3599,10.2716,*,*
I00743,RWJ,"STOCKPORT NHS FOUNDATION TRUST",1804,347,363,309,340,436,9,19.2350,20.1220,17.1286,18.8470,24.1685,0.4989
I00743,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",1977,17,139,495,518,795,13,0.8599,7.0309,25.0379,26.2013,40.2124,0.6576
I00743,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",1411,564,416,222,140,*,*,39.9717,29.4826,15.7335,9.9220,*,*
I00743,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",1745,98,420,586,387,248,6,5.6160,24.0688,33.5817,22.1777,14.2120,0.3438
I00743,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",2435,694,562,384,491,*,*,28.5010,23.0801,15.7700,20.1643,*,*
