INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00742,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38871,3338,13760,8478,4734,3664,4897,8.587378766,35.39914075,21.81060431,12.17874508,9.426050269,12.59808083
I00742,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46930,1221,4019,6958,13088,14911,6733,2.601747283,8.563818453,14.8263371,27.88834434,31.77285319,14.34689964
I00742,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51894,3364,12415,16305,9999,6241,3570,6.482444984,23.92376768,31.41981732,19.26812348,12.02643851,6.879408024
I00742,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,29142,3167,4677,9949,7039,2209,2101,10.86747649,16.04900144,34.1397296,24.15414179,7.580124906,7.20952577
I00742,RBK,WALSALL HEALTHCARE NHS TRUST,42306,18912,8480,4532,3186,2236,4960,44.70287902,20.04443814,10.7124285,7.530846688,5.285302321,11.72410533
I00742,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,63749,21849,10714,8342,8443,9879,4522,34.2734788,16.80653814,13.08569546,13.24412932,15.49671367,7.093444603
I00742,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,68011,32153,11244,9497,6021,4350,4746,47.27617591,16.53261972,13.9639176,8.852979665,6.396024173,6.978282925
I00742,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,37012,6406,7519,6335,6267,9990,495,17.30790014,20.31503296,17.11607046,16.93234627,26.99124608,1.337404085
I00742,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,29870,2352,8241,10589,6100,875,1713,7.874121192,27.58955474,35.45028457,20.42182792,2.929360562,5.734851021
I00742,RC1,BEDFORD HOSPITAL NHS TRUST,28939,2643,5270,4851,6613,9350,212,9.133003905,18.2107191,16.76284599,22.85151526,32.30934034,0.732575417
I00742,RC3,EALING HOSPITAL NHS TRUST,29238,7190,10358,6991,1490,454,2755,24.59128531,35.42649976,23.9106642,5.096107805,1.552773788,9.422669129
I00742,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,60402,10944,14490,10942,8735,9101,6190,18.11860534,23.98927188,18.1152942,14.46144167,15.06738187,10.24800503
